"","Model","Competitor index","Parameter","Era","Region","Posterior_Mean","Lower_2.5_CI","Lower_10_CI","Posterior_Median","Upper_90_CI","Upper_97.5_CI"
"35","1","pink_biomass_np","SST effect","Late","Gulf of Alaska",-0.297923651399012,-0.484875963789539,-0.422334528437464,-0.298811464925365,-0.173054149766169,-0.111816704320974
"36","1","pink_biomass_np","SST effect","Late","Bering Sea",0.107132900126355,-0.0470051971621834,0.0045904092775091,0.107696013514615,0.208852082094505,0.260965514638252
"37","1","pink_biomass_np","Competitor effect","Early","West Coast",-0.160335625466445,-0.280151486711,-0.235890375126508,-0.1603399266411,-0.0837299675649521,-0.040770734535874
"38","1","pink_biomass_np","Competitor effect","Early","Southeast Alaska",0.154864321808108,-0.0617238590764963,0.0123350828764029,0.154805552680378,0.298631635795457,0.381128760767423
"39","1","pink_biomass_np","Competitor effect","Early","Gulf of Alaska",0.0189430797417203,-0.179306881036108,-0.104617727939149,0.0190473495075585,0.142287695580731,0.207258895094876
"40","1","pink_biomass_np","Competitor effect","Early","Bering Sea",0.273089875929776,0.113117290697101,0.16957303036339,0.272332844143165,0.378688357048427,0.431001710344073
"41","1","pink_biomass_np","Competitor effect","Middle","West Coast",-0.406502968178147,-0.520610553666166,-0.483597645086825,-0.40749782214292,-0.329004672111517,-0.285733242616652
"42","1","pink_biomass_np","Competitor effect","Middle","Southeast Alaska",-0.29638482088114,-0.501567001044555,-0.427842981945969,-0.295897324884681,-0.165268920245953,-0.0873790023405238
"43","1","pink_biomass_np","Competitor effect","Middle","Gulf of Alaska",-0.101528401274801,-0.260533672697226,-0.199639126138392,-0.101370590842959,-0.00357916330447676,0.0520301447626178
"44","1","pink_biomass_np","Competitor effect","Middle","Bering Sea",-0.116589361648926,-0.242122972504413,-0.200719985633158,-0.117580920769831,-0.0318848738840929,0.011279667974316
"45","1","pink_biomass_np","Competitor effect","Late","West Coast",-0.805859801886878,-1.02810252083825,-0.950825430180166,-0.805126389661367,-0.660015701357081,-0.585323774222151
"46","1","pink_biomass_np","Competitor effect","Late","Southeast Alaska",0.00508990670567596,-0.318288563473506,-0.206306065644909,0.00489316327835736,0.221291576265736,0.339648134393913
"47","1","pink_biomass_np","Competitor effect","Late","Gulf of Alaska",0.146230385239292,-0.0848518678630355,-0.00783333354380122,0.146520637704948,0.299186713717622,0.378414790656395
"48","1","pink_biomass_np","Competitor effect","Late","Bering Sea",0.0605664938815881,-0.142369504011579,-0.0781897110643272,0.0604642185597884,0.195162114688954,0.27160932995707
"49","1","all_spp_biomass_np","SST effect","Early","West Coast",0.017783324466374,-0.0775078032525125,-0.0436908025563652,0.0167700633655361,0.0788916341031675,0.110834222794827
